SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
5765,Cer(d18:1_15:0)+H,d18:1+44.05,SPH(R1)+NH4-H2O-CH2O,C01,2,8,252.2683357,9199.762695,252.2685755,-0.950570098,16.503953,
5765,Cer(d18:1_15:0)+H,NL[15:0+36.02],SPH(R1)+H-2H2O,C01,2,9,264.2683238,77765.16406,264.2685755,-0.952442866,16.503953,
5765,Cer(d18:1_15:0)+H,NL[15:0+36.02],SPH(R1)+NH4-2H2O,C01,2,9,264.2683238,77765.16406,264.2685755,-0.952442866,16.503953,
5765,Cer(d18:1_15:0)+H,NL[15:0+18.01],SPH(R1)+H-H2O,C01,2,10,282.278284,12042.81934,282.2791405,-3.034078724,16.503953,
5765,Cer(d18:1_15:0)+H,NL[15:0+18.01],SPH(R1)+NH4-H2O,C01,2,10,282.278284,12042.81934,282.2791405,-3.034078724,16.503953,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
6303,DG(15:0_18:1)+NH4+D7:(s),C6 H9,C6H9,C2,2,9,81.07025614,92722.29863,81.06987647,4.683268257,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C7 H11,C7H11,C2,2,13,95.08583295,133290.5995,95.08552647,3.223233033,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C7 H13,C7H13,C2,2,14,97.10156397,83464.11931,97.10117647,3.990616848,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C8 H13,C8H13,C2,2,15,109.1012955,86590.48108,109.1011765,1.090758561,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C8 H15,C8H15,C2,2,16,111.1169824,42048.92978,111.1168265,1.403358006,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C9 H13,C9H13,C2,2,17,121.101457,32985.49459,121.1011765,2.316668345,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C9 H15,C9H15,C2,2,18,123.1168012,64035.48937,123.1168265,-0.205151776,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C10 H15,C10H15,C2,2,20,135.1163348,51144.48979,135.1168265,-3.638986763,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),C10 H17,C10H17,C2,2,21,137.1321811,36849.48483,137.1324765,-2.153555453,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),15:0+1.00,R2-OH,C1,2,23,225.2211866,79942.50474,225.2212915,-0.465745662,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),18:1+D7:(s)+1.00,R1-OH,C1,2,25,272.2958247,65689.8939,272.2965305,-2.592069978,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),NL[18:1+D7:(s)+35.03],M-R1OH,C01,2,26,299.2570787,753017.0712,299.2580715,-3.317373919,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),NL[15:0+35.03],M-R2OH,C01,2,27,346.332275,817057.8729,346.3333105,-2.989665801,17.978756,
6303,DG(15:0_18:1)+NH4+D7:(s),NL[35.03],M-OH,C0,2,29,570.5452856,260304.0856,570.5473255,-3.575325616,17.978756,
6418,DG(15:0_18:1)+NH4+D7:(s),C6 H9,C6H9,C2,2,9,81.07025614,9110.631836,81.06987647,4.683268257,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C7 H11,C7H11,C2,2,13,95.08583295,13096.75879,95.08552647,3.223233033,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C7 H13,C7H13,C2,2,15,97.10156397,8200.949219,97.10117647,3.990616848,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C8 H13,C8H13,C2,2,16,109.1012955,8508.136719,109.1011765,1.090758561,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C8 H15,C8H15,C2,2,17,111.1169824,4131.609375,111.1168265,1.403358006,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C9 H13,C9H13,C2,2,18,121.101457,3241.061768,121.1011765,2.316668345,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C9 H15,C9H15,C2,2,19,123.1168012,6291.946777,123.1168265,-0.205151776,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C10 H15,C10H15,C2,2,21,135.1163348,5025.313477,135.1168265,-3.638986763,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),C10 H17,C10H17,C2,2,22,137.1321811,3620.726563,137.1324765,-2.153555453,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),15:0+1.00,R2-OH,C1,2,24,225.2211866,7854.925293,225.2212915,-0.465745662,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),18:1+D7:(s)+1.00,R1-OH,C1,2,26,272.2958247,6454.503906,272.2965305,-2.592069978,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),NL[18:1+D7:(s)+35.03],M-R1OH,C01,2,27,299.2570787,73989.33594,299.2580715,-3.317373919,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),NL[15:0+35.03],M-R2OH,C01,2,28,346.332275,80281.80469,346.3333105,-2.989665801,17.978746,
6418,DG(15:0_18:1)+NH4+D7:(s),NL[35.03],M-OH,C0,2,30,570.5452856,25576.74609,570.5473255,-3.575325616,17.978746,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
6301,DG(15:0_18:1)+Na,NL[18:1+39.99],M-R2OH,C01,2,8,299.2585675,42601.15655,299.2580715,1.657553403,18.074426,
6301,DG(15:0_18:1)+Na,NL[15:0+39.99],M-R1OH,C01,2,9,339.2894334,24828.62888,339.2893715,0.182563859,18.074426,
6301,DG(15:0_18:1)+Na,NL[15:0+18.01],NL[R1],C01,2,10,361.2703956,28825.87864,361.2713165,-2.548898297,18.074426,
6301,DG(15:0_18:1)+Na,DG(33:1)+Na,DG(33:1)+Na,,2,13,603.4959734,1150811.138,603.4958965,0.127551021,18.074426,
6447,DG(15:0_18:1)+Na,NL[18:1+39.99],M-R2OH,C01,2,8,299.2585675,26814.18945,299.2580715,1.657553403,18.074416,
6447,DG(15:0_18:1)+Na,NL[15:0+39.99],M-R1OH,C01,2,9,339.2894334,15627.73438,339.2893715,0.182563859,18.074416,
6447,DG(15:0_18:1)+Na,NL[15:0+18.01],NL[R1],C01,2,10,361.2703956,18143.69922,361.2713165,-2.548898297,18.074416,
6447,DG(15:0_18:1)+Na,DG(33:1)+Na,DG(33:1)+Na,,2,13,603.4959734,724348.125,603.4958965,0.127551021,18.074416,
