Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
PI,PI(16:0_16:0),C41H79O13P1,809.518554,[M-H],810.52583,14.18,0.03,166.5%,1424038,#N/A,0,#N/A,1033291,34193236,#N/A,#N/A,36184,#N/A,19565764,537306
SQDG,SQDG(36:4),C45H78O12S1,841.514123,[M-H],842.521399,10.4,0.04,184.6%,1415836,#N/A,859,#N/A,90513,82208,#N/A,#N/A,#N/A,#N/A,57969,#N/A
PI,PI(17:0_18:2),C44H81O13P1,847.534204,[M-H],848.54148,12.78,0.06,192%,1404639,0,358981,#N/A,#N/A,84000,#N/A,#N/A,5374679,0,0,#N/A
MGMG,MGMG(18:3),C27H46O9,559.312386,[M+HCOO],514.314183,2.87,0.09,110.8%,1391755,955223,#N/A,0,#N/A,564339,0,0,#N/A,#N/A,661545,171583
PE,PE(18:1_18:1),C41H78N1O8P1,742.53923,[M-H],743.546506,16.09,0.05,156.8%,1381177,#N/A,#N/A,1125,35591,411806,195429,#N/A,3862380,#N/A,#N/A,327887
PC,PC(18:1_18:1),C44H84N1O8P1,770.570529,[M-CH3]-,785.593456,15.97,0.05,186.9%,1319787,2651958,71156,74199,191,29650,#N/A,#N/A,#N/A,15660,#N/A,0
MGDG,MGDG(20:4_18:3),C47H76O10,845.542052,[M+HCOO],800.543849,14.42,0.03,69.1%,1266934,#N/A,#N/A,745320,526473,1146701,#N/A,0,#N/A,#N/A,#N/A,#N/A
PA,PA(16:0_18:2),C37H69O8P1,671.46573,[M-H],672.473006,14.59,0.04,191.6%,1265959,9888121,721092,#N/A,420421568,37866664,0,#N/A,#N/A,#N/A,145087024,90580
PG,PG(16:0_16:0),C38H75O10P1,721.50251,[M-H],722.509786,12.89,0.06,84.1%,1251365,#N/A,21037,0,1366198,2055346,#N/A,#N/A,#N/A,2314090,#N/A,#N/A
PC,PC(16:0_18:1),C42H82N1O8P1,804.576009,[M+HCOO],759.577806,16.13,0.13,181%,1231773,0,#N/A,91288,193427,4124645,#N/A,#N/A,#N/A,164848,72699,344759
MGDG,MGDG(19:4_16:3),C44H70O10,803.495102,[M+HCOO],758.496899,10.53,0.02,245.8%,1215470,0,38536,#N/A,707955,115371,#N/A,#N/A,#N/A,32501276,#N/A,50201
PG,PG(16:0_16:1),C38H73O10P1,719.48686,[M-H],720.494136,12.2,0.02,170.6%,1198218,#N/A,#N/A,96244,18468402,#N/A,#N/A,0,#N/A,5682159,1666179,390170
MGMG,MGMG(18:3),C27H46O9,513.306907,[M-H],514.314183,2.89,0.08,208.9%,1053746,0,#N/A,0,#N/A,94110,0,0,#N/A,#N/A,0,254206
PG,PG(15:2_18:2),C39H69O10P1,727.45556,[M-H],728.462836,8.29,0.05,281.1%,1046298,160475,144202,324887904,204235,#N/A,#N/A,#N/A,2539,#N/A,174399,6260
PC,PC(16:3_18:3),C42H72N1O8P1,794.497758,[M+HCOO],749.499556,8.06,0.02,113.1%,1032085,0,#N/A,4616468,2746205,1236727,#N/A,#N/A,#N/A,692417,0,#N/A
LPE,LPE(22:0),C27H56N1O7P1,536.372164,[M-H],537.37944,9.43,0.03,145.8%,1017312,#N/A,#N/A,52638,87928,120434,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DGDG,DGDG(18:4_16:0),C49H84O15,957.579225,[M+HCOO],912.581022,11.02,0.05,211.3%,762846,0,#N/A,#N/A,2958844,369056,#N/A,#N/A,#N/A,116463,31671630,#N/A
DGDG,DGDG(16:2_18:4),C49H80O15,907.542446,[M-H],908.549722,7.98,0.04,217.3%,757809,0,0,87675,5166437,543563,#N/A,#N/A,#N/A,0,0,#N/A
DGDG,DGDG(18:2_18:4),C51H84O15,981.579225,[M+HCOO],936.581022,8.03,0.02,245.7%,744083,#N/A,0,0,12110596,829727,#N/A,#N/A,#N/A,0,40366,0
LPA,LPA(30:8),C33H51O7P1,589.329965,[M-H],590.337241,3.22,0.03,164.2%,694505,0,0,0,973494,#N/A,#N/A,#N/A,#N/A,#N/A,73991,0
SQDG,SQDG(28:7_12:1),C49H78O12S1,935.519602,[M+HCOO],890.521399,11.46,0.03,136.9%,668989,#N/A,6621,#N/A,#N/A,158865,#N/A,#N/A,#N/A,346460,3254372,5771910
Cer,Cer(d42:1)+2O:(s),C42H83N1O5,726.625328,[M+HCOO],681.627125,17.15,0.01,159.4%,666384,0,#N/A,#N/A,390659,2535401,#N/A,#N/A,43310,41752,#N/A,#N/A
